rank,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s
97,tamarind,rhubarb,crumpets,bristles,currants,distilleries,bladders,holla,villainously,swapped,drinkable,crushers
98,boxwood,exportation,nuk,bitters,gamboge,retailers,chees,nuff,sampling,eatables,pilfered,toya
99,yarn,turmeric,retailer,smoked,whiffing,hemp,injections,pocketbook,whiffing,chocolate,taverns,acetone
100,firewood,distilling,runi,pumpkins,spirituous,sugars,spilled,coppers,corked,flaxseed,disgorge,consumable
101,figs,salt,cloves,sagar,stills,nectarine,syrups,suo,snuffbox,twopenny,depreciates,steaks
102,lugar,decanter,quicksilver,seaborne,timber,commodity,housemen,unpacked,giblets,vacillate,leeches,subsidiaries
103,chipped,liqueurs,offish,brandi,drugs,consumable,stickers,smoked,purloin,toothpick,whiffs,peanuts
104,rags,compounds,platters,narcotic,pulverized,odoriferous,arrowroot,anchovy,chees,cognac,imbibing,distillers
105,exported,goals,borax,taels,mashes,adulterating,gallons,pineapple,seeley,narcotic,thirsts,pipe
106,tobaccos,muriatic,opium,turpentine,auger,seasoning,skewer,notarial,sticks,quicksilver,mucilage,purloined
107,staved,hampers,goals,arrowroot,barrels,sugary,asbestos,brazilians,stinks,intoxicating,exhaling,savouries
108,assorted,barrels,pieceof,juice,articles,raki,rancid,dustin,pocketbook,stimulants,unpacking,blender
109,haberdashery,caddies,pepper,coffee,flax,borax,acetic,wendy,ounce,consumer,lnstead,coconut
110,toffee,smuggled,turmeric,shrub,homemade,beer,drawback,unsorted,playthings,fourpenny,combustibles,toffees
111,corks,carpeting,sacco,spirits,goods,brandied,flax,wills,sherbet,retailing,slakes,mussels
112,dogwood,carbonate,refilling,consignments,taxable,warehousing,narcotics,inebriation,kilograms,smuggling,trafficker,thermos
113,aurors,glassware,punting,gin,aromatics,fluxes,pipe,paddies,resisters,sassafras,preservatives,saccharin
114,documented,cask,breweries,tamarinds,tards,groceries,uncorked,decayed,diluting,frothed,fiddling,wastefully
115,bale,saucer,wool,liqueurs,bagi,equalized,essences,pilfered,sassafras,pilfer,hankerchief,starches
116,pipe,stuffs,goofs,stuffs,consumed,husks,wino,unfired,rectifier,coffe,fourpenny,luxuries
117,bristles,cuttings,pods,chandlery,alleles,myrrh,saccharine,fruit,oranges,suga,commodity,mealie
118,stuffs,boundto,hogshead,gumption,bladders,dumplings,buttermilk,snuffed,smelling,flagon,sprits,malaya
119,champaign,peppery,sprits,cider,distillation,stoppers,disgorging,alcohol,chewed,arsenic,billets,gatherers
120,cottons,raisins,chandlery,slops,aniseed,fermenting,jute,customs,sweetened,handier,likings,calabash
121,sago,plumbs,spirits,evened,pods,lnquiry,mucilage,crudity,frankincense,coarsest,medicated,caviare
122,olives,butters,puds,consumes,scoop,poppy,gluten,forums,intoxicate,biscuit,retails,moldy
123,searcher,adulterated,flour,pickles,quantity,bandanna,banknote,packages,exhaled,nightcaps,bounties,hulks
124,refiners,manufacture,quantifies,retailing,stuffs,teaspoonful,decoction,anuses,therefrom,surreptitiously,whichi,frizzled
125,tubs,drinkable,mucilage,glue,tarpaulin,nuff,bonded,smuggling,gelatin,lemonades,peaches,porkers
126,whisky,coarser,caterpillar,bergamot,charring,mangoes,combustibles,doto,complainers,mags,plantains,regaling
127,hombre,ashes,sugars,pimento,maize,sweepings,albumen,codfish,slops,vanilla,havana,shredding
128,ashes,staves,castings,potties,consumable,quanti,gedda,tuber,consume,trafficker,secreting,spittoon
129,hampers,goads,muscatel,leaf,ketchup,styptic,nastiness,leaf,cutty,sublimate,confectionary,doughy
130,distilling,muscatel,checker,taxable,consumes,cocoons,distillation,unripe,chew,beefsteaks,calabash,unripe
131,shipment,jewelry,pimento,codfish,importer,importation,madder,flasks,tampers,syrups,emissions,caramels
132,gingerbread,marketable,quids,illicit,coffee,shellac,puking,contraband,seizures,ticker,pernicious,cheese
