word,decade,rank,neighbor,similarity
cocoa,1870s,8,forting,0.5518013834953308
cocoa,1870s,9,coma,0.5487258434295654
cocoa,1870s,10,milky,0.5364760756492615
cocoa,1870s,11,quint,0.5343192219734192
cocoa,1870s,12,experimentalist,0.5287988781929016
cocoa,1870s,13,coca,0.5262067317962646
cocoa,1870s,14,fibre,0.5239390730857849
cocoa,1870s,15,coons,0.5107948780059814
cocoa,1870s,16,eres,0.5056048035621643
cocoa,1870s,17,breakfast,0.5042259693145752
cocoa,1870s,18,trinidad,0.5028044581413269
cocoa,1870s,19,errs,0.5019773244857788
cocoa,1870s,20,beverage,0.4970118999481201
cocoa,1880s,1,cocos,0.9168617725372314
cocoa,1880s,2,coco,0.800411581993103
cocoa,1880s,3,epps,0.6116147041320801
cocoa,1880s,4,caracas,0.5847490429878235
cocoa,1880s,5,coca,0.5847331881523132
cocoa,1880s,6,chocolate,0.5643343329429626
cocoa,1880s,7,forting,0.5555832386016846
cocoa,1880s,8,comforting,0.5478032827377319
cocoa,1880s,9,essence,0.5416808128356934
cocoa,1880s,10,locos,0.5158754587173462
cocoa,1880s,11,coma,0.5148760080337524
cocoa,1880s,12,toffee,0.504639744758606
cocoa,1880s,13,flips,0.5011469125747681
cocoa,1880s,14,matting,0.49513116478919983
cocoa,1880s,15,essen,0.49352020025253296
cocoa,1880s,16,coons,0.4916505515575409
cocoa,1880s,17,ordinarily,0.4908290207386017
cocoa,1880s,18,fry,0.49070078134536743
cocoa,1880s,19,thickens,0.48174893856048584
cocoa,1880s,20,cova,0.4803341031074524
cocoa,1890s,1,cocos,0.9349459409713745
cocoa,1890s,2,coco,0.7675415873527527
cocoa,1890s,3,comforting,0.6265329718589783
cocoa,1890s,4,nib,0.6256304383277893
cocoa,1890s,5,vi,0.6100767254829407
cocoa,1890s,6,chocolate,0.607872486114502
cocoa,1890s,7,epps,0.6057064533233643
cocoa,1890s,8,unadulterated,0.6048699021339417
cocoa,1890s,9,coma,0.6042962074279785
cocoa,1890s,10,beverage,0.5898357629776001
cocoa,1890s,11,coons,0.5730146765708923
cocoa,1890s,12,nutritious,0.5522359609603882
cocoa,1890s,13,kola,0.5501008033752441
cocoa,1890s,14,sustaining,0.5403921008110046
cocoa,1890s,15,nili,0.5247166156768799
cocoa,1890s,16,forting,0.5117020010948181
cocoa,1890s,17,coffee,0.5109778642654419
cocoa,1890s,18,breakfast,0.5093196630477905
cocoa,1890s,19,leverage,0.5058345198631287
cocoa,1890s,20,foods,0.4985843896865845
cocoa,1900s,1,cocos,0.807067334651947
cocoa,1900s,2,coco,0.7672721147537231
cocoa,1900s,3,epps,0.6875177621841431
cocoa,1900s,4,nutritious,0.6767392754554749
cocoa,1900s,5,beverage,0.648227870464325
cocoa,1900s,6,nutritive,0.6357529759407043
cocoa,1900s,7,coffe,0.6151660084724426
cocoa,1900s,8,delicious,0.6141272783279419
cocoa,1900s,9,coffee,0.6103951930999756
cocoa,1900s,10,beverages,0.6103221774101257
cocoa,1900s,11,flavour,0.6098018884658813
cocoa,1900s,12,nourishing,0.6043440103530884
cocoa,1900s,13,digestible,0.6033415198326111
cocoa,1900s,14,palatable,0.5939911007881165
cocoa,1900s,15,foods,0.5894662737846375
cocoa,1900s,16,epicure,0.5873608589172363
cocoa,1900s,17,porridge,0.5850151777267456
cocoa,1900s,18,chicory,0.5847151279449463
cocoa,1900s,19,malted,0.5837319493293762
cocoa,1900s,20,food,0.5775288939476013
cocoa,1910s,1,cocos,0.7726978659629822
cocoa,1910s,2,coffe,0.6861594319343567
cocoa,1910s,3,coffee,0.6763405203819275
cocoa,1910s,4,caffeine,0.6720536351203918
cocoa,1910s,5,delicious,0.6712547540664673
cocoa,1910s,6,mogul,0.6657360196113586
cocoa,1910s,7,porridge,0.6647535562515259
cocoa,1910s,8,biscuits,0.6631544828414917
cocoa,1910s,9,deliciousness,0.6618878841400146
cocoa,1910s,10,glassful,0.6612296104431152
cocoa,1910s,11,coffees,0.6591904163360596
cocoa,1910s,12,arrowroot,0.6582862734794617
cocoa,1910s,13,sweetmeat,0.6579590439796448
cocoa,1910s,14,blancmange,0.656051516532898
cocoa,1910s,15,coco,0.6557316184043884
cocoa,1910s,16,chicory,0.6540598273277283
cocoa,1910s,17,horlicks,0.6525281071662903
cocoa,1910s,18,appetizing,0.6500006914138794
cocoa,1910s,19,beverage,0.6495071053504944
cocoa,1910s,20,unadulterated,0.6470268964767456
